Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Miami Heat,110,Oklahoma City Thunder,108,Miami Heat
Portland Trail Blazers,128,San Antonio Spurs,112,Portland Trail Blazers
Cleveland Cavaliers,105,Dallas Mavericks,90,Cleveland Cavaliers
Washington Wizards,128,Denver Nuggets,141,Denver Nuggets
Minnesota Timberwolves,88,Los Angeles Clippers,99,Los Angeles Clippers
Miami Heat,111,Houston Rockets,108,Miami Heat
Milwaukee Bucks,101,Memphis Grizzlies,142,Memphis Grizzlies
New Orleans Pelicans,129,Utah Jazz,132,Utah Jazz
Phoenix Suns,111,Los Angeles Clippers,95,Phoenix Suns
Atlanta Hawks,125,Charlotte Hornets,106,Atlanta Hawks
Sacramento Kings,122,Detroit Pistons,113,Sacramento Kings
Orlando Magic,117,Boston Celtics,109,Orlando Magic
Indiana Pacers,112,Cleveland Cavaliers,118,Cleveland Cavaliers
Golden State Warriors,106,Philadelphia 76ers,118,Philadelphia 76ers
Brooklyn Nets,119,Toronto Raptors,116,Brooklyn Nets
New York Knicks,114,Chicago Bulls,91,New York Knicks
Minnesota Timberwolves,112,Oklahoma City Thunder,110,Minnesota Timberwolves
Portland Trail Blazers,110,Dallas Mavericks,130,Dallas Mavericks
Denver Nuggets,108,Los Angeles Lakers,126,Los Angeles Lakers
Washington Wizards,93,Los Angeles Clippers,102,Los Angeles Clippers
Miami Heat,111,San Antonio Spurs,101,Miami Heat
Dallas Mavericks,99,Cleveland Cavaliers,100,Cleveland Cavaliers
Portland Trail Blazers,107,Houston Rockets,95,Portland Trail Blazers
Utah Jazz,97,Milwaukee Bucks,123,Milwaukee Bucks
Memphis Grizzlies,109,Oklahoma City Thunder,115,Oklahoma City Thunder
New Orleans Pelicans,114,Phoenix Suns,118,Phoenix Suns
Orlando Magic,95,Boston Celtics,92,Orlando Magic
New York Knicks,109,Indiana Pacers,106,New York Knicks
Brooklyn Nets,124,Detroit Pistons,121,Brooklyn Nets
Golden State Warriors,126,Toronto Raptors,110,Golden State Warriors
Chicago Bulls,126,Minnesota Timberwolves,150,Minnesota Timberwolves
Charlotte Hornets,115,Denver Nuggets,119,Denver Nuggets
Washington Wizards,117,Los Angeles Lakers,119,Los Angeles Lakers
Utah Jazz,99,Cleveland Cavaliers,122,Cleveland Cavaliers
Toronto Raptors,101,Philadelphia 76ers,104,Philadelphia 76ers
Orlando Magic,125,Atlanta Hawks,126,Atlanta Hawks
San Antonio Spurs,124,Houston Rockets,105,San Antonio Spurs
Dallas Mavericks,106,Minnesota Timberwolves,116,Minnesota Timberwolves
Milwaukee Bucks,128,New Orleans Pelicans,119,Milwaukee Bucks
Portland Trail Blazers,121,Oklahoma City Thunder,123,Oklahoma City Thunder
Los Angeles Lakers,104,Phoenix Suns,130,Phoenix Suns
Charlotte Hornets,125,Sacramento Kings,119,Charlotte Hornets
Utah Jazz,126,Detroit Pistons,111,Utah Jazz
Chicago Bulls,113,Miami Heat,103,Chicago Bulls
Golden State Warriors,94,New York Knicks,132,New York Knicks
Washington Wizards,113,Phoenix Suns,110,Washington Wizards
Memphis Grizzlies,91,Denver Nuggets,105,Denver Nuggets
Milwaukee Bucks,106,Cleveland Cavaliers,114,Cleveland Cavaliers
Detroit Pistons,93,Philadelphia 76ers,113,Philadelphia 76ers
Chicago Bulls,110,Atlanta Hawks,108,Chicago Bulls
Indiana Pacers,117,Boston Celtics,112,Indiana Pacers
Golden State Warriors,113,Brooklyn Nets,143,Brooklyn Nets
Toronto Raptors,113,New York Knicks,106,Toronto Raptors
Orlando Magic,116,Houston Rockets,110,Orlando Magic
Dallas Mavericks,104,Minnesota Timberwolves,99,Dallas Mavericks
Portland Trail Blazers,98,Oklahoma City Thunder,101,Oklahoma City Thunder
Los Angeles Lakers,120,Sacramento Kings,134,Sacramento Kings
Charlotte Hornets,105,Los Angeles Clippers,126,Los Angeles Clippers
San Antonio Spurs,117,New Orleans Pelicans,126,New Orleans Pelicans
Washington Wizards,112,Utah Jazz,120,Utah Jazz
San Antonio Spurs,113,Orlando Magic,133,Orlando Magic
Los Angeles Clippers,114,Philadelphia 76ers,119,Philadelphia 76ers
Detroit Pistons,105,Atlanta Hawks,130,Atlanta Hawks
Minnesota Timberwolves,109,Boston Celtics,121,Boston Celtics
Milwaukee Bucks,100,Brooklyn Nets,118,Brooklyn Nets
Toronto Raptors,118,Cleveland Cavaliers,107,Toronto Raptors
Chicago Bulls,118,New York Knicks,117,Chicago Bulls
Dallas Mavericks,112,Houston Rockets,106,Dallas Mavericks
Indiana Pacers,111,Miami Heat,108,Indiana Pacers
New Orleans Pelicans,128,Oklahoma City Thunder,125,New Orleans Pelicans
Portland Trail Blazers,107,Denver Nuggets,120,Denver Nuggets
Memphis Grizzlies,125,Phoenix Suns,100,Memphis Grizzlies
Washington Wizards,125,Sacramento Kings,111,Washington Wizards
Charlotte Hornets,134,Los Angeles Lakers,130,Charlotte Hornets
Philadelphia 76ers,119,New York Knicks,112,Philadelphia 76ers
Los Angeles Lakers,115,Dallas Mavericks,124,Dallas Mavericks
Milwaukee Bucks,118,Boston Celtics,139,Boston Celtics
Memphis Grizzlies,109,Golden State Warriors,123,Golden State Warriors
Phoenix Suns,125,Denver Nuggets,128,Denver Nuggets
Brooklyn Nets,125,Cleveland Cavaliers,117,Brooklyn Nets
Los Angeles Clippers,142,Detroit Pistons,131,Los Angeles Clippers
Minnesota Timberwolves,110,Miami Heat,113,Miami Heat
Houston Rockets,133,Chicago Bulls,118,Houston Rockets
Indiana Pacers,93,New Orleans Pelicans,113,New Orleans Pelicans
Utah Jazz,122,San Antonio Spurs,126,San Antonio Spurs
Charlotte Hornets,113,Portland Trail Blazers,124,Portland Trail Blazers
Los Angeles Lakers,129,Orlando Magic,110,Los Angeles Lakers
Philadelphia 76ers,111,Washington Wizards,116,Washington Wizards
Houston Rockets,102,Boston Celtics,126,Boston Celtics
Atlanta Hawks,114,Indiana Pacers,129,Indiana Pacers
Los Angeles Clippers,124,Toronto Raptors,113,Los Angeles Clippers
Phoenix Suns,125,Memphis Grizzlies,108,Phoenix Suns
San Antonio Spurs,114,Oklahoma City Thunder,130,Oklahoma City Thunder
New York Knicks,121,Dallas Mavericks,126,Dallas Mavericks
Charlotte Hornets,105,Golden State Warriors,110,Golden State Warriors
Denver Nuggets,113,Sacramento Kings,106,Denver Nuggets
Orlando Magic,101,Detroit Pistons,121,Detroit Pistons
Phoenix Suns,102,Washington Wizards,127,Washington Wizards
Brooklyn Nets,108,Atlanta Hawks,107,Brooklyn Nets
Los Angeles Lakers,98,Miami Heat,112,Miami Heat
Milwaukee Bucks,113,Chicago Bulls,119,Chicago Bulls
Minnesota Timberwolves,118,New Orleans Pelicans,119,New Orleans Pelicans
Utah Jazz,107,Golden State Warriors,112,Golden State Warriors
Denver Nuggets,126,Sacramento Kings,127,Sacramento Kings
Oklahoma City Thunder,113,Charlotte Hornets,121,Charlotte Hornets
Cleveland Cavaliers,126,Indiana Pacers,135,Indiana Pacers
Los Angeles Clippers,110,Boston Celtics,116,Boston Celtics
Memphis Grizzlies,119,Toronto Raptors,106,Memphis Grizzlies
New York Knicks,115,San Antonio Spurs,122,San Antonio Spurs
Houston Rockets,114,Dallas Mavericks,129,Dallas Mavericks
Washington Wizards,119,Orlando Magic,100,Washington Wizards
Los Angeles Lakers,130,Atlanta Hawks,121,Los Angeles Lakers
Phoenix Suns,104,Toronto Raptors,113,Toronto Raptors
Detroit Pistons,118,Chicago Bulls,132,Chicago Bulls
Minnesota Timberwolves,114,Milwaukee Bucks,123,Milwaukee Bucks
Philadelphia 76ers,116,New Orleans Pelicans,127,New Orleans Pelicans
Miami Heat,119,Denver Nuggets,124,Denver Nuggets
Portland Trail Blazers,112,Golden State Warriors,118,Golden State Warriors
Utah Jazz,125,Sacramento Kings,126,Sacramento Kings
Los Angeles Clippers,130,Indiana Pacers,131,Indiana Pacers
Cleveland Cavaliers,103,Chicago Bulls,102,Cleveland Cavaliers
Brooklyn Nets,123,Charlotte Hornets,106,Brooklyn Nets
New York Knicks,108,Houston Rockets,88,New York Knicks
Dallas Mavericks,126,San Antonio Spurs,125,Dallas Mavericks
New Orleans Pelicans,101,Memphis Grizzlies,116,Memphis Grizzlies
Detroit Pistons,116,Minnesota Timberwolves,104,Detroit Pistons
Philadelphia 76ers,115,Oklahoma City Thunder,96,Philadelphia 76ers
Miami Heat,126,Utah Jazz,123,Miami Heat
Boston Celtics,111,Denver Nuggets,123,Denver Nuggets
Sacramento Kings,108,Memphis Grizzlies,118,Memphis Grizzlies
Washington Wizards,118,Milwaukee Bucks,95,Washington Wizards
Phoenix Suns,83,New York Knicks,102,New York Knicks
Los Angeles Lakers,121,Charlotte Hornets,115,Los Angeles Lakers
Chicago Bulls,134,Cleveland Cavaliers,145,Cleveland Cavaliers
Toronto Raptors,114,Indiana Pacers,122,Indiana Pacers
New Orleans Pelicans,111,Philadelphia 76ers,120,Philadelphia 76ers
San Antonio Spurs,103,Brooklyn Nets,139,Brooklyn Nets
Dallas Mavericks,111,Houston Rockets,106,Dallas Mavericks
Denver Nuggets,111,Minnesota Timberwolves,124,Minnesota Timberwolves
Atlanta Hawks,141,Golden State Warriors,143,Golden State Warriors
Detroit Pistons,106,Portland Trail Blazers,135,Portland Trail Blazers
Miami Heat,110,Los Angeles Clippers,100,Miami Heat
Washington Wizards,113,Milwaukee Bucks,123,Milwaukee Bucks
Boston Celtics,117,Oklahoma City Thunder,150,Oklahoma City Thunder
Sacramento Kings,117,Utah Jazz,115,Sacramento Kings
Memphis Grizzlies,131,Charlotte Hornets,107,Memphis Grizzlies
Phoenix Suns,88,Cleveland Cavaliers,90,Cleveland Cavaliers
Oklahoma City Thunder,115,Orlando Magic,126,Orlando Magic
Indiana Pacers,126,Philadelphia 76ers,129,Philadelphia 76ers
San Antonio Spurs,114,New York Knicks,117,New York Knicks
Milwaukee Bucks,104,Toronto Raptors,101,Milwaukee Bucks
Brooklyn Nets,112,Chicago Bulls,121,Chicago Bulls
Portland Trail Blazers,106,Minnesota Timberwolves,113,Minnesota Timberwolves
Houston Rockets,108,New Orleans Pelicans,119,New Orleans Pelicans
Detroit Pistons,122,Golden State Warriors,119,Detroit Pistons
Miami Heat,109,Los Angeles Lakers,112,Los Angeles Lakers
Atlanta Hawks,120,Sacramento Kings,117,Atlanta Hawks
Memphis Grizzlies,123,Orlando Magic,115,Memphis Grizzlies
Boston Celtics,124,Dallas Mavericks,95,Boston Celtics
Utah Jazz,131,Houston Rockets,114,Utah Jazz
Los Angeles Clippers,91,Denver Nuggets,122,Denver Nuggets
Portland Trail Blazers,99,Indiana Pacers,108,Indiana Pacers
Chicago Bulls,126,Philadelphia 76ers,112,Chicago Bulls
Brooklyn Nets,108,New Orleans Pelicans,102,Brooklyn Nets
New York Knicks,112,Toronto Raptors,108,New York Knicks
Charlotte Hornets,138,Milwaukee Bucks,109,Charlotte Hornets
Washington Wizards,110,Oklahoma City Thunder,127,Oklahoma City Thunder
Detroit Pistons,109,San Antonio Spurs,121,San Antonio Spurs
Cleveland Cavaliers,108,Denver Nuggets,121,Denver Nuggets
Los Angeles Clippers,115,Minnesota Timberwolves,128,Minnesota Timberwolves
Miami Heat,104,Phoenix Suns,96,Miami Heat
Atlanta Hawks,114,Los Angeles Lakers,130,Los Angeles Lakers
Boston Celtics,121,San Antonio Spurs,116,Boston Celtics
Utah Jazz,118,Chicago Bulls,126,Chicago Bulls
New Orleans Pelicans,117,Dallas Mavericks,127,Dallas Mavericks
Orlando Magic,115,Golden State Warriors,101,Orlando Magic
Los Angeles Lakers,136,Sacramento Kings,134,Los Angeles Lakers
Philadelphia 76ers,123,Detroit Pistons,111,Philadelphia 76ers
Portland Trail Blazers,105,Toronto Raptors,117,Toronto Raptors
Charlotte Hornets,111,Indiana Pacers,116,Indiana Pacers
Utah Jazz,118,Memphis Grizzlies,123,Memphis Grizzlies
Brooklyn Nets,102,Miami Heat,101,Brooklyn Nets
Minnesota Timberwolves,104,Houston Rockets,96,Minnesota Timberwolves
Dallas Mavericks,109,Oklahoma City Thunder,120,Oklahoma City Thunder
Cleveland Cavaliers,112,Phoenix Suns,98,Cleveland Cavaliers
Atlanta Hawks,112,Los Angeles Clippers,108,Atlanta Hawks
New Orleans Pelicans,132,Washington Wizards,112,New Orleans Pelicans
Chicago Bulls,99,Boston Celtics,107,Boston Celtics
Milwaukee Bucks,111,New York Knicks,107,Milwaukee Bucks
San Antonio Spurs,113,Memphis Grizzlies,121,Memphis Grizzlies
Los Angeles Lakers,109,Denver Nuggets,122,Denver Nuggets
Orlando Magic,111,Sacramento Kings,136,Sacramento Kings
Detroit Pistons,116,Philadelphia 76ers,147,Philadelphia 76ers
Oklahoma City Thunder,111,Miami Heat,112,Miami Heat
Charlotte Hornets,120,Toronto Raptors,132,Toronto Raptors
Cleveland Cavaliers,114,Utah Jazz,116,Utah Jazz
Phoenix Suns,125,Golden State Warriors,113,Phoenix Suns
Orlando Magic,109,Portland Trail Blazers,106,Orlando Magic
Dallas Mavericks,101,Los Angeles Clippers,113,Los Angeles Clippers
Minnesota Timberwolves,118,Detroit Pistons,135,Detroit Pistons
Chicago Bulls,97,Washington Wizards,100,Washington Wizards
Milwaukee Bucks,114,Atlanta Hawks,105,Milwaukee Bucks
New Orleans Pelicans,114,Boston Celtics,125,Boston Celtics
Indiana Pacers,113,New York Knicks,119,New York Knicks
San Antonio Spurs,129,Memphis Grizzlies,135,Memphis Grizzlies
Phoenix Suns,97,Denver Nuggets,126,Denver Nuggets
Houston Rockets,115,Sacramento Kings,135,Sacramento Kings
Oklahoma City Thunder,133,Philadelphia 76ers,114,Oklahoma City Thunder
Boston Celtics,109,Brooklyn Nets,98,Boston Celtics
Milwaukee Bucks,102,Miami Heat,108,Miami Heat
Charlotte Hornets,114,Toronto Raptors,124,Toronto Raptors
Dallas Mavericks,119,Los Angeles Lakers,115,Dallas Mavericks
Cleveland Cavaliers,119,Portland Trail Blazers,113,Cleveland Cavaliers
New Orleans Pelicans,116,Detroit Pistons,110,New Orleans Pelicans
Atlanta Hawks,113,Indiana Pacers,111,Atlanta Hawks
New York Knicks,112,Washington Wizards,108,New York Knicks
Golden State Warriors,144,San Antonio Spurs,113,Golden State Warriors
Oklahoma City Thunder,124,Chicago Bulls,110,Oklahoma City Thunder
Phoenix Suns,116,Minnesota Timberwolves,121,Minnesota Timberwolves
Orlando Magic,108,Utah Jazz,112,Utah Jazz
Denver Nuggets,115,Los Angeles Clippers,103,Denver Nuggets
Houston Rockets,114,Sacramento Kings,139,Sacramento Kings
Milwaukee Bucks,95,Miami Heat,111,Miami Heat
Boston Celtics,122,Charlotte Hornets,106,Boston Celtics
Memphis Grizzlies,130,Indiana Pacers,112,Memphis Grizzlies
Atlanta Hawks,114,Toronto Raptors,103,Atlanta Hawks
Cleveland Cavaliers,102,Minnesota Timberwolves,110,Minnesota Timberwolves
Philadelphia 76ers,118,Utah Jazz,117,Philadelphia 76ers
Dallas Mavericks,119,Portland Trail Blazers,136,Portland Trail Blazers
New York Knicks,117,Detroit Pistons,104,New York Knicks
Houston Rockets,100,Los Angeles Clippers,121,Los Angeles Clippers
Golden State Warriors,118,Chicago Bulls,132,Chicago Bulls
Oklahoma City Thunder,112,Brooklyn Nets,102,Oklahoma City Thunder
Sacramento Kings,132,San Antonio Spurs,119,Sacramento Kings
Orlando Magic,116,Denver Nuggets,119,Denver Nuggets
Dallas Mavericks,123,Portland Trail Blazers,140,Portland Trail Blazers
Philadelphia 76ers,113,Los Angeles Lakers,112,Philadelphia 76ers
Boston Celtics,130,Charlotte Hornets,118,Boston Celtics
Indiana Pacers,119,Milwaukee Bucks,132,Milwaukee Bucks
New Orleans Pelicans,103,Cleveland Cavaliers,113,Cleveland Cavaliers
Toronto Raptors,123,New York Knicks,121,Toronto Raptors
Golden State Warriors,127,Washington Wizards,118,Golden State Warriors
Miami Heat,113,Atlanta Hawks,121,Atlanta Hawks
Utah Jazz,126,Minnesota Timberwolves,125,Utah Jazz
Phoenix Suns,106,Memphis Grizzlies,136,Memphis Grizzlies
Houston Rockets,132,Los Angeles Lakers,140,Los Angeles Lakers
Toronto Raptors,122,Milwaukee Bucks,130,Milwaukee Bucks
Brooklyn Nets,98,San Antonio Spurs,106,San Antonio Spurs
Portland Trail Blazers,113,Denver Nuggets,122,Denver Nuggets
Philadelphia 76ers,120,Los Angeles Clippers,110,Philadelphia 76ers
Atlanta Hawks,130,Dallas Mavericks,122,Atlanta Hawks
Washington Wizards,116,New York Knicks,105,Washington Wizards
Charlotte Hornets,122,Houston Rockets,117,Charlotte Hornets
Cleveland Cavaliers,114,Memphis Grizzlies,115,Memphis Grizzlies
Miami Heat,124,New Orleans Pelicans,98,Miami Heat
Indiana Pacers,106,Oklahoma City Thunder,126,Oklahoma City Thunder
Los Angeles Clippers,103,Utah Jazz,126,Utah Jazz
Minnesota Timberwolves,118,Denver Nuggets,122,Denver Nuggets
Sacramento Kings,116,Los Angeles Lakers,111,Sacramento Kings
Chicago Bulls,126,Detroit Pistons,108,Chicago Bulls
Golden State Warriors,118,Boston Celtics,121,Boston Celtics
Toronto Raptors,126,Minnesota Timberwolves,128,Minnesota Timberwolves
Brooklyn Nets,112,Phoenix Suns,117,Phoenix Suns
Philadelphia 76ers,105,Portland Trail Blazers,95,Philadelphia 76ers
New Orleans Pelicans,,Orlando Magic,,
New York Knicks,,Atlanta Hawks,,
Golden State Warriors,,Cleveland Cavaliers,,
Miami Heat,,Dallas Mavericks,,
Los Angeles Clippers,,San Antonio Spurs,,
Indiana Pacers,,Denver Nuggets,,
Brooklyn Nets,,Utah Jazz,,
Memphis Grizzlies,,Los Angeles Lakers,,
Oklahoma City Thunder,,Sacramento Kings,,
Boston Celtics,,Toronto Raptors,,
Orlando Magic,,Washington Wizards,,
Charlotte Hornets,,Atlanta Hawks,,
Milwaukee Bucks,,Cleveland Cavaliers,,
Houston Rockets,,Minnesota Timberwolves,,
Indiana Pacers,,Phoenix Suns,,
Philadelphia 76ers,,Sacramento Kings,,
Los Angeles Clippers,,Dallas Mavericks,,
New Orleans Pelicans,,Miami Heat,,
New York Knicks,,Toronto Raptors,,
Oklahoma City Thunder,,Denver Nuggets,,
Memphis Grizzlies,,Phoenix Suns,,
Brooklyn Nets,,Golden State Warriors,,
Los Angeles Lakers,,Portland Trail Blazers,,
Milwaukee Bucks,,Detroit Pistons,,
Boston Celtics,,Orlando Magic,,
Atlanta Hawks,,Chicago Bulls,,
Minnesota Timberwolves,,Houston Rockets,,
Charlotte Hornets,,Utah Jazz,,
San Antonio Spurs,,Portland Trail Blazers,,
Memphis Grizzlies,,Sacramento Kings,,
Chicago Bulls,,Indiana Pacers,,
Boston Celtics,,Miami Heat,,
Cleveland Cavaliers,,New York Knicks,,
Denver Nuggets,,New Orleans Pelicans,,
Washington Wizards,,Dallas Mavericks,,
Charlotte Hornets,,Phoenix Suns,,
Los Angeles Clippers,,Los Angeles Lakers,,
Indiana Pacers,,Orlando Magic,,
Brooklyn Nets,,Philadelphia 76ers,,
Washington Wizards,,Houston Rockets,,
Denver Nuggets,,Milwaukee Bucks,,
Minnesota Timberwolves,,New Orleans Pelicans,,
Atlanta Hawks,,Oklahoma City Thunder,,
Memphis Grizzlies,,Golden State Warriors,,
Utah Jazz,,Portland Trail Blazers,,
Toronto Raptors,,Sacramento Kings,,
San Antonio Spurs,,Los Angeles Lakers,,
New York Knicks,,Boston Celtics,,
Detroit Pistons,,Brooklyn Nets,,
Chicago Bulls,,Charlotte Hornets,,
Cleveland Cavaliers,,Houston Rockets,,
Dallas Mavericks,,Phoenix Suns,,
San Antonio Spurs,,Los Angeles Clippers,,
Milwaukee Bucks,,Indiana Pacers,,
Memphis Grizzlies,,Minnesota Timberwolves,,
Orlando Magic,,Miami Heat,,
Cleveland Cavaliers,,Oklahoma City Thunder,,
Toronto Raptors,,Golden State Warriors,,
Denver Nuggets,,Philadelphia 76ers,,
New York Knicks,,Brooklyn Nets,,
Houston Rockets,,Detroit Pistons,,
Chicago Bulls,,Orlando Magic,,
Los Angeles Clippers,,Atlanta Hawks,,
Sacramento Kings,,Minnesota Timberwolves,,
Washington Wizards,,New Orleans Pelicans,,
Phoenix Suns,,San Antonio Spurs,,
Los Angeles Lakers,,Boston Celtics,,
Dallas Mavericks,,Utah Jazz,,
Toronto Raptors,,Portland Trail Blazers,,
Miami Heat,,Charlotte Hornets,,
Indiana Pacers,,Memphis Grizzlies,,
Los Angeles Clippers,,Cleveland Cavaliers,,
New Orleans Pelicans,,Milwaukee Bucks,,
Orlando Magic,,Philadelphia 76ers,,
Los Angeles Lakers,,Brooklyn Nets,,
Sacramento Kings,,Minnesota Timberwolves,,
Golden State Warriors,,Oklahoma City Thunder,,
Washington Wizards,,San Antonio Spurs,,
Detroit Pistons,,Dallas Mavericks,,
Toronto Raptors,,Phoenix Suns,,
Atlanta Hawks,,Portland Trail Blazers,,
Miami Heat,,Cleveland Cavaliers,,
Los Angeles Lakers,,New York Knicks,,
Los Angeles Clippers,,Chicago Bulls,,
Charlotte Hornets,,Milwaukee Bucks,,
New Orleans Pelicans,,Denver Nuggets,,
Washington Wizards,,Detroit Pistons,,
Portland Trail Blazers,,Memphis Grizzlies,,
Orlando Magic,,Philadelphia 76ers,,
Brooklyn Nets,,Boston Celtics,,
Oklahoma City Thunder,,Houston Rockets,,
Golden State Warriors,,Minnesota Timberwolves,,
Sacramento Kings,,San Antonio Spurs,,
Toronto Raptors,,Utah Jazz,,
Atlanta Hawks,,Phoenix Suns,,
Los Angeles Lakers,,Indiana Pacers,,
Memphis Grizzlies,,Cleveland Cavaliers,,
Miami Heat,,New York Knicks,,
Charlotte Hornets,,Chicago Bulls,,
New Orleans Pelicans,,Dallas Mavericks,,
Golden State Warriors,,Denver Nuggets,,
Los Angeles Clippers,,Milwaukee Bucks,,
Charlotte Hornets,,Detroit Pistons,,
Sacramento Kings,,Indiana Pacers,,
Portland Trail Blazers,,Washington Wizards,,
Phoenix Suns,,Boston Celtics,,
Toronto Raptors,,Houston Rockets,,
Orlando Magic,,Minnesota Timberwolves,,
Philadelphia 76ers,,San Antonio Spurs,,
Atlanta Hawks,,Utah Jazz,,
Washington Wizards,,Brooklyn Nets,,
Phoenix Suns,,Detroit Pistons,,
Los Angeles Clippers,,New York Knicks,,
Portland Trail Blazers,,Chicago Bulls,,
Miami Heat,,Milwaukee Bucks,,
Los Angeles Lakers,,New Orleans Pelicans,,
Houston Rockets,,Oklahoma City Thunder,,
Dallas Mavericks,,Golden State Warriors,,
Atlanta Hawks,,Denver Nuggets,,
Orlando Magic,,Charlotte Hornets,,
Cleveland Cavaliers,,Indiana Pacers,,
Toronto Raptors,,Memphis Grizzlies,,
Philadelphia 76ers,,New York Knicks,,
Denver Nuggets,,Minnesota Timberwolves,,
Sacramento Kings,,New Orleans Pelicans,,
Boston Celtics,,Detroit Pistons,,
Cleveland Cavaliers,,Washington Wizards,,
Los Angeles Clippers,,Brooklyn Nets,,
San Antonio Spurs,,Chicago Bulls,,
Sacramento Kings,,Houston Rockets,,
Dallas Mavericks,,Utah Jazz,,
Oklahoma City Thunder,,Golden State Warriors,,
Milwaukee Bucks,,Portland Trail Blazers,,
New York Knicks,,Orlando Magic,,
Phoenix Suns,,Brooklyn Nets,,
Atlanta Hawks,,New Orleans Pelicans,,
Chicago Bulls,,Memphis Grizzlies,,
Minnesota Timberwolves,,Denver Nuggets,,
Oklahoma City Thunder,,Los Angeles Lakers,,
Detroit Pistons,,Cleveland Cavaliers,,
Charlotte Hornets,,Washington Wizards,,
Philadelphia 76ers,,Boston Celtics,,
Indiana Pacers,,Miami Heat,,
San Antonio Spurs,,Toronto Raptors,,
Sacramento Kings,,Houston Rockets,,
Minnesota Timberwolves,,Utah Jazz,,
Dallas Mavericks,,Los Angeles Clippers,,
Golden State Warriors,,Portland Trail Blazers,,
Denver Nuggets,,Orlando Magic,,
Phoenix Suns,,Atlanta Hawks,,
Chicago Bulls,,Brooklyn Nets,,
Milwaukee Bucks,,Los Angeles Lakers,,
San Antonio Spurs,,Detroit Pistons,,
Phoenix Suns,,Indiana Pacers,,
New York Knicks,,Philadelphia 76ers,,
Charlotte Hornets,,Boston Celtics,,
Utah Jazz,,Toronto Raptors,,
Minnesota Timberwolves,,Memphis Grizzlies,,
Houston Rockets,,Miami Heat,,
Cleveland Cavaliers,,New Orleans Pelicans,,
Oklahoma City Thunder,,Portland Trail Blazers,,
Dallas Mavericks,,Sacramento Kings,,
Milwaukee Bucks,,Los Angeles Clippers,,
Philadelphia 76ers,,Brooklyn Nets,,
Denver Nuggets,,Charlotte Hornets,,
Miami Heat,,Orlando Magic,,
Indiana Pacers,,Washington Wizards,,
San Antonio Spurs,,Atlanta Hawks,,
Utah Jazz,,New York Knicks,,
Chicago Bulls,,Cleveland Cavaliers,,
Los Angeles Lakers,,Golden State Warriors,,
Dallas Mavericks,,Sacramento Kings,,
Memphis Grizzlies,,Boston Celtics,,
Detroit Pistons,,Toronto Raptors,,
Atlanta Hawks,,Charlotte Hornets,,
San Antonio Spurs,,Cleveland Cavaliers,,
Utah Jazz,,Indiana Pacers,,
Houston Rockets,,Philadelphia 76ers,,
Denver Nuggets,,Miami Heat,,
Brooklyn Nets,,New York Knicks,,
Orlando Magic,,Chicago Bulls,,
New Orleans Pelicans,,Oklahoma City Thunder,,
Minnesota Timberwolves,,Dallas Mavericks,,
Washington Wizards,,Golden State Warriors,,
Los Angeles Lakers,,Portland Trail Blazers,,
Boston Celtics,,Milwaukee Bucks,,
Orlando Magic,,Toronto Raptors,,
Sacramento Kings,,Phoenix Suns,,
Golden State Warriors,,Los Angeles Clippers,,
Washington Wizards,,Portland Trail Blazers,,
San Antonio Spurs,,Charlotte Hornets,,
Chicago Bulls,,Indiana Pacers,,
Cleveland Cavaliers,,Philadelphia 76ers,,
New York Knicks,,Atlanta Hawks,,
Detroit Pistons,,Boston Celtics,,
Miami Heat,,Brooklyn Nets,,
Utah Jazz,,Memphis Grizzlies,,
Houston Rockets,,Oklahoma City Thunder,,
Dallas Mavericks,,Denver Nuggets,,
New Orleans Pelicans,,Los Angeles Lakers,,
Milwaukee Bucks,,Chicago Bulls,,
Washington Wizards,,Minnesota Timberwolves,,
Los Angeles Clippers,,Phoenix Suns,,
Denver Nuggets,,Cleveland Cavaliers,,
Boston Celtics,,Indiana Pacers,,
Detroit Pistons,,Orlando Magic,,
Memphis Grizzlies,,Philadelphia 76ers,,
New Orleans Pelicans,,Toronto Raptors,,
San Antonio Spurs,,Dallas Mavericks,,
Oklahoma City Thunder,,Utah Jazz,,
Golden State Warriors,,Los Angeles Lakers,,
Portland Trail Blazers,,Sacramento Kings,,
New York Knicks,,Washington Wizards,,
Cleveland Cavaliers,,Atlanta Hawks,,
Miami Heat,,Milwaukee Bucks,,
Charlotte Hornets,,Minnesota Timberwolves,,
Oklahoma City Thunder,,Phoenix Suns,,
Brooklyn Nets,,Chicago Bulls,,
Houston Rockets,,Golden State Warriors,,
Sacramento Kings,,Los Angeles Clippers,,
Toronto Raptors,,Detroit Pistons,,
Miami Heat,,Charlotte Hornets,,
Indiana Pacers,,Orlando Magic,,
New Orleans Pelicans,,New York Knicks,,
Denver Nuggets,,Memphis Grizzlies,,
Boston Celtics,,Philadelphia 76ers,,
San Antonio Spurs,,Utah Jazz,,
Phoenix Suns,,Milwaukee Bucks,,
Brooklyn Nets,,Atlanta Hawks,,
Washington Wizards,,Chicago Bulls,,
Los Angeles Lakers,,Dallas Mavericks,,
Toronto Raptors,,Cleveland Cavaliers,,
Sacramento Kings,,Oklahoma City Thunder,,
Minnesota Timberwolves,,Golden State Warriors,,
Houston Rockets,,Portland Trail Blazers,,
