Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Philadelphia 76ers,118,Washington Wizards,111,Philadelphia 76ers
Indiana Pacers,109,Brooklyn Nets,116,Brooklyn Nets
Atlanta Hawks,109,Toronto Raptors,139,Toronto Raptors
Detroit Pistons,108,Milwaukee Bucks,110,Milwaukee Bucks
Memphis Grizzlies,105,Utah Jazz,121,Utah Jazz
Houston Rockets,93,Los Angeles Clippers,95,Los Angeles Clippers
Chicago Bulls,108,Brooklyn Nets,99,Chicago Bulls
Golden State Warriors,109,Miami Heat,116,Miami Heat
Orlando Magic,108,Oklahoma City Thunder,116,Oklahoma City Thunder
Minnesota Timberwolves,107,Phoenix Suns,116,Phoenix Suns
Washington Wizards,121,Philadelphia 76ers,111,Washington Wizards
Boston Celtics,113,Cleveland Cavaliers,114,Cleveland Cavaliers
Sacramento Kings,107,Miami Heat,110,Miami Heat
Atlanta Hawks,112,New York Knicks,99,Atlanta Hawks
Charlotte Hornets,88,Chicago Bulls,106,Chicago Bulls
Los Angeles Clippers,109,Houston Rockets,101,Los Angeles Clippers
Detroit Pistons,91,Milwaukee Bucks,116,Milwaukee Bucks
Toronto Raptors,143,San Antonio Spurs,100,Toronto Raptors
Utah Jazz,100,Dallas Mavericks,103,Dallas Mavericks
Memphis Grizzlies,111,Portland Trail Blazers,106,Memphis Grizzlies
New Orleans Pelicans,117,Los Angeles Lakers,120,Los Angeles Lakers
Golden State Warriors,129,Orlando Magic,130,Orlando Magic
Denver Nuggets,122,Oklahoma City Thunder,110,Denver Nuggets
Cleveland Cavaliers,112,Detroit Pistons,88,Cleveland Cavaliers
Miami Heat,99,Indiana Pacers,101,Indiana Pacers
New York Knicks,106,Philadelphia 76ers,104,New York Knicks
Brooklyn Nets,128,Washington Wizards,86,Brooklyn Nets
Chicago Bulls,119,Boston Celtics,123,Boston Celtics
Charlotte Hornets,99,Memphis Grizzlies,130,Memphis Grizzlies
Los Angeles Clippers,113,San Antonio Spurs,106,Los Angeles Clippers
Toronto Raptors,110,Dallas Mavericks,111,Dallas Mavericks
Golden State Warriors,105,New Orleans Pelicans,114,New Orleans Pelicans
Milwaukee Bucks,115,Minnesota Timberwolves,102,Milwaukee Bucks
Portland Trail Blazers,108,Phoenix Suns,106,Portland Trail Blazers
Utah Jazz,130,Los Angeles Lakers,116,Utah Jazz
Sacramento Kings,126,Orlando Magic,123,Sacramento Kings
Brooklyn Nets,98,Charlotte Hornets,94,Brooklyn Nets
New Orleans Pelicans,121,Atlanta Hawks,124,Atlanta Hawks
Boston Celtics,133,New York Knicks,118,Boston Celtics
Oklahoma City Thunder,94,Milwaukee Bucks,108,Milwaukee Bucks
Houston Rockets,117,Minnesota Timberwolves,129,Minnesota Timberwolves
San Antonio Spurs,101,Denver Nuggets,126,Denver Nuggets
Portland Trail Blazers,82,Phoenix Suns,102,Phoenix Suns
Cleveland Cavaliers,114,Los Angeles Lakers,100,Cleveland Cavaliers
Washington Wizards,97,Memphis Grizzlies,103,Memphis Grizzlies
Chicago Bulls,104,Toronto Raptors,113,Toronto Raptors
Utah Jazz,110,Los Angeles Clippers,102,Utah Jazz
Washington Wizards,108,Charlotte Hornets,100,Washington Wizards
